Date,Mortgage Rate,Interest Rate
1985-01-01,12.44,9.66
1985-02-01,12.57,10.95
1985-03-01,13.43,11.18
1985-04-01,12.77,9.75
1985-05-01,12.38,9.59
1985-06-01,11.89,9.57
1985-07-01,11.75,9.31
1985-08-01,11.77,9.2
1985-09-01,11.85,9.31
1985-10-01,11.96,8.77
1985-11-01,11.75,8.98
1985-12-01,11.61,9.49
1986-01-01,11.67,10.33
1986-02-01,11.94,11.84
1986-03-01,11.66,10.44
1986-04-01,11.12,9.27
1986-05-01,10.6,8.43
1986-06-01,10.87,8.84
1986-07-01,11.06,8.63
1986-08-01,11.0,8.58
1986-09-01,11.1,8.63
1986-10-01,11.25,8.62
1986-11-01,11.25,8.47
1986-12-01,11.17,8.49
1987-01-01,10.85,7.74
1987-02-01,10.46,7.59
1987-03-01,10.2,7.14
1987-04-01,10.39,8.26
1987-05-01,11.04,8.54
1987-06-01,11.26,8.59
1987-07-01,11.26,8.76
1987-08-01,11.49,9.24
1987-09-01,11.72,9.57
1987-10-01,11.97,8.26
1987-11-01,11.49,8.48
1987-12-01,11.56,8.66
1988-01-01,11.73,8.63
1988-02-01,11.49,8.58
1988-03-01,11.08,8.78
1988-04-01,11.04,9.06
1988-05-01,11.29,9.12
1988-06-01,11.41,9.44
1988-07-01,11.4,9.53
1988-08-01,11.92,10.03
1988-09-01,12.16,10.54
1988-10-01,11.79,10.51
1988-11-01,11.78,10.84
1988-12-01,12.13,11.17
1989-01-01,12.24,11.54
1989-02-01,12.23,11.7
1989-03-01,12.41,12.4
1989-04-01,12.72,12.61
1989-05-01,12.29,12.4
1989-06-01,11.93,12.31
1989-07-01,11.85,12.32
1989-08-01,11.76,12.4
1989-09-01,11.75,12.47
1989-10-01,11.75,12.43
1989-11-01,11.75,12.47
1989-12-01,11.95,12.47
1990-01-01,12.01,12.29
1990-02-01,12.42,13.25
1990-03-01,12.92,13.38
1990-04-01,13.67,13.77
1990-05-01,14.21,14.05
1990-06-01,14.03,13.9
1990-07-01,13.97,13.59
1990-08-01,13.56,13.01
1990-09-01,13.4,12.61
1990-10-01,13.21,12.66
1990-11-01,13.04,12.25
1990-12-01,12.49,11.78
1991-01-01,12.13,10.88
1991-02-01,11.58,10.02
1991-03-01,11.45,9.92
1991-04-01,11.27,9.66
1991-05-01,11.23,9.07
1991-06-01,11.24,8.91
1991-07-01,11.31,8.94
1991-08-01,11.47,8.8
1991-09-01,11.38,8.68
1991-10-01,10.84,8.17
1991-11-01,10.14,7.69
1991-12-01,9.84,7.67
1992-01-01,9.71,7.08
1992-02-01,9.68,7.56
